Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude;ow_temp;ow_humidity;ow_pressure;ow_dewPoint;ow_feelsLike;ow_dt
A-AU;2020-12-17 00:00:00;0;0;1608163200;59.449966;24.766567000000002;3.67;100;1013;3.67;-0.23;1608163200
A-AU;2020-12-17 01:00:00;1;0;1608166800;59.44998199999999;24.766567000000002;4.25;93;1013;3.22;-0.08;1608166800
A-AU;2020-12-17 02:00:00;2;0;1608170400;59.44998199999999;24.766567000000002;4.25;93;1014;3.22;-0.78;1608170400
A-AU;2020-12-17 03:00:00;3;0;1608174000;59.449966;24.766567000000002;3.95;100;1014;3.95;-1.72;1608174000
A-AU;2020-12-17 04:00:00;4;0;1608177600;59.44998199999999;24.766582;3.92;93;1015;2.89;-1.94;1608177600
A-AU;2020-12-17 05:00:00;5;0;1608181200;59.44998199999999;24.766582;3.48;100;1016;3.48;-1.16;1608181200
A-AU;2020-12-17 06:00:00;6;0;1608184800;59.44998199999999;24.766567000000002;3.48;100;1016;3.48;-1.51;1608184800
A-AU;2020-12-17 07:00:00;7;0;1608188400;59.44998199999999;24.766567000000002;3.48;93;1017;2.46;-0.99;1608188400
A-AU;2020-12-17 08:00:00;8;0;1608192000;59.44998199999999;24.766567000000002;3.59;93;1017;2.57;-0.86;1608192000
A-AU;2020-12-17 09:00:00;9;0;1608195600;59.449966;24.766567000000002;3.72;93;1018;2.69;-0.36;1608195600
A-AU;2020-12-17 10:00:00;10;0;1608199200;59.449966;24.766567000000002;3.85;100;1018;3.85;-0.02;1608199200
A-AU;2020-12-17 11:00:00;11;0;1608202800;59.449966;24.766567000000002;3.85;100;1018;3.85;0.33;1608202800
A-AU;2020-12-17 12:00:00;12;0;1608206400;59.44998199999999;24.766567000000002;3.84;100;1018;3.84;-0.38;1608206400
A-AU;2020-12-17 13:00:00;13;0;1608210000;59.44998199999999;24.766567000000002;3.48;100;1019;3.48;0.59;1608210000
A-AU;2020-12-17 14:00:00;14;0;1608213600;59.44998199999999;24.766567000000002;3.07;100;1019;3.07;1.23;1608213600
A-AU;2020-12-17 15:00:00;15;0;1608217200;59.449966;24.766567000000002;2.96;100;1019;2.96;0.4;1608217200
A-AU;2020-12-17 16:00:00;16;0;1608220800;59.44998199999999;24.766567000000002;2.96;93;1019;1.94;0.23;1608220800
A-AU;2020-12-17 17:00:00;17;0;1608224400;59.44998199999999;24.766567000000002;2.97;100;1019;2.97;-0.01;1608224400
A-AU;2020-12-17 18:00:00;18;0;1608228000;59.44998199999999;24.766567000000002;2.97;100;1018;2.97;0.41;1608228000
A-AU;2020-12-17 19:00:00;19;0;1608231600;59.44998199999999;24.766567000000002;3.2;100;1018;3.2;1.03;1608231600
A-AU;2020-12-17 20:00:00;20;0;1608235200;59.44998199999999;24.766567000000002;3.2;100;1018;3.2;0.68;1608235200
A-AU;2020-12-17 21:00:00;21;0;1608238800;59.449966;24.766567000000002;3.24;100;1017;3.24;0.73;1608238800
A-AU;2020-12-17 22:00:00;22;0;1608242400;59.44998199999999;24.766567000000002;3.38;100;1017;3.38;0.48;1608242400
A-AU;2020-12-17 23:00:00;23;0;1608246000;59.44998199999999;24.766567000000002;3.38;100;1017;3.38;0.48;1608246000
A-BE;2020-12-17 00:00:00;0;0;1608163200;28.0641;-15.373783;18.59;82;1022;15.46;14.63;1608163200
A-BE;2020-12-17 01:00:00;1;0;1608166800;28.064449;-15.374;18.59;77;1022;14.48;14.63;1608166800
A-BE;2020-12-17 02:00:00;2;0;1608170400;28.064234000000003;-15.374482999999998;18.59;77;1022;14.48;16.03;1608170400
A-BE;2020-12-17 03:00:00;3;0;1608174000;28.064133;-15.373217000000002;18.04;88;1019;16.02;15.34;1608174000
A-BE;2020-12-17 04:00:00;4;0;1608177600;28.064234000000003;-15.373917;18.07;88;1019;16.05;16.09;1608177600
A-BE;2020-12-17 05:00:00;5;0;1608181200;28.064234000000003;-15.37315;18.18;77;1022;14.09;14.43;1608181200
A-BE;2020-12-17 06:00:00;6;0;1608184800;28.064315999999998;-15.374166;18.42;77;1022;14.32;13.28;1608184800
A-BE;2020-12-17 07:00:00;7;0;1608188400;28.064217;-15.373867;18.07;77;1022;13.98;13.59;1608188400
A-BE;2020-12-17 08:00:00;8;0;1608192000;28.064417;-15.3746;17.69;77;1020;13.61;13.43;1608192000
A-BE;2020-12-17 09:00:00;9;0;1608195600;28.064217;-15.373217000000002;18.36;82;1020;15.24;16.07;1608195600
A-BE;2020-12-17 10:00:00;10;0;1608199200;28.064283000000003;-15.373982999999999;19.1;72;1021;13.94;13.83;1608199200
A-BE;2020-12-17 11:00:00;11;0;1608202800;28.063932;-15.37375;20.0;64;1021;12.99;14.07;1608202800
A-BE;2020-12-17 12:00:00;12;0;1608206400;28.06415;-15.374382999999998;20.55;56;1021;11.48;13.8;1608206400
A-BE;2020-12-17 13:00:00;13;0;1608210000;28.064884000000003;-15.372817000000001;20.88;56;1023;11.79;14.22;1608210000
