Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude;ow_temp;ow_humidity;ow_pressure;ow_dewPoint;ow_feelsLike;ow_dt
A-AU;2020-12-11 00:00:00;0;0;1607644800;59.42411800000001;23.6462;-4.75;85;1019;-6.64;-10.07;1607644800
A-AU;2020-12-11 01:00:00;1;0;1607648400;59.446281000000006;23.965918;-6.12;85;1019;-7.99;-11.91;1607648400
A-AU;2020-12-11 02:00:00;2;0;1607652000;59.51558299999999;23.942332999999998;-5.83;85;1019;-7.71;-11.24;1607652000
A-AU;2020-12-11 03:00:00;3;0;1607655600;59.478232999999996;23.586983;-3.13;92;1018;-4.12;-8.53;1607655600
A-AU;2020-12-11 04:00:00;4;0;1607659200;59.4319;23.199551;-6.25;92;1016;-7.21;-11.96;1607659200
A-AU;2020-12-11 05:00:00;5;0;1607662800;59.325084999999994;22.9573;-4.0;92;1016;-4.98;-9.14;1607662800
A-AU;2020-12-11 06:00:00;6;0;1607666400;59.366051;23.286734;-4.97;92;1016;-5.94;-12.33;1607666400
A-AU;2020-12-11 07:00:00;7;0;1607670000;59.418884;23.603399;-4.61;85;1017;-6.5;-9.21;1607670000
A-AU;2020-12-11 08:00:00;8;0;1607673600;59.43448299999999;23.8713;-4.58;92;1016;-5.55;-9.08;1607673600
A-AU;2020-12-11 09:00:00;9;0;1607677200;59.45575;23.904532999999997;-3.85;92;1016;-4.83;-8.28;1607677200
A-AU;2020-12-11 10:00:00;10;0;1607680800;59.477402000000005;24.158667;-3.22;86;1016;-5.0;-7.67;1607680800
A-AU;2020-12-11 11:00:00;11;0;1607684400;59.512516000000005;23.90815;-2.95;92;1015;-3.94;-7.28;1607684400
A-AU;2020-12-11 12:00:00;12;0;1607688000;59.478381999999996;23.590999999999998;-2.13;92;1016;-3.12;-6.71;1607688000
A-AU;2020-12-11 13:00:00;13;0;1607691600;59.460032999999996;23.716116;-2.42;86;1015;-4.21;-7.14;1607691600
A-AU;2020-12-11 14:00:00;14;0;1607695200;59.496315;24.002501000000002;-2.49;86;1015;-4.28;-7.22;1607695200
A-AU;2020-12-11 15:00:00;15;0;1607698800;59.516365;24.092251;-1.99;92;1015;-2.98;-6.56;1607698800
A-AU;2020-12-11 16:00:00;16;0;1607702400;59.49585;24.53635;-2.0;86;1015;-3.79;-6.67;1607702400
A-AU;2020-12-11 17:00:00;17;0;1607706000;59.450931999999995;24.767117000000002;-2.25;92;1014;-3.24;-6.85;1607706000
A-AU;2020-12-11 18:00:00;18;0;1607709600;59.449966;24.766567000000002;-1.93;92;1014;-2.92;-6.14;1607709600
A-AU;2020-12-11 19:00:00;19;0;1607713200;59.44998199999999;24.766567000000002;-1.52;92;1014;-2.52;-5.68;1607713200
A-AU;2020-12-11 20:00:00;20;0;1607716800;59.44998199999999;24.766567000000002;-1.04;92;1014;-2.04;-5.14;1607716800
A-AU;2020-12-11 21:00:00;21;0;1607720400;59.449966;24.766567000000002;-0.94;92;1014;-1.94;-5.03;1607720400
A-AU;2020-12-11 22:00:00;22;0;1607724000;59.449966;24.766567000000002;-0.69;92;1014;-1.69;-5.1;1607724000
A-AU;2020-12-11 23:00:00;23;0;1607727600;59.44998199999999;24.766567000000002;-0.54;92;1014;-1.54;-4.93;1607727600
A-BE;2020-12-11 00:00:00;0;0;1607644800;28.064698999999997;-15.374184;18.41;68;1025;12.4;14.11;1607644800
A-BE;2020-12-11 01:00:00;1;0;1607648400;28.064966;-15.37415;18.26;68;1025;12.26;13.57;1607648400
A-BE;2020-12-11 02:00:00;2;0;1607652000;28.064884000000003;-15.3749;18.25;68;1025;12.25;14.6;1607652000
A-BE;2020-12-11 03:00:00;3;0;1607655600;28.064816999999998;-15.374217000000002;18.25;72;1025;13.12;14.53;1607655600
A-BE;2020-12-11 04:00:00;4;0;1607659200;28.064816999999998;-15.374482999999998;18.09;68;1024;12.1;13.35;1607659200
A-BE;2020-12-11 05:00:00;5;0;1607662800;28.065384;-15.375484;17.91;68;1024;11.93;13.81;1607662800
A-BE;2020-12-11 06:00:00;6;0;1607666400;28.0648;-15.373532999999998;18.09;68;1024;12.1;14.4;1607666400
A-BE;2020-12-11 07:00:00;7;0;1607670000;28.065033000000003;-15.375082999999998;17.69;82;1024;14.58;14.46;1607670000
A-BE;2020-12-11 08:00:00;8;0;1607673600;28.064698999999997;-15.3739;17.34;82;1021;14.24;12.18;1607673600
A-BE;2020-12-11 09:00:00;9;0;1607677200;28.064751;-15.374617;18.04;77;1021;13.95;14.6;1607677200
A-BE;2020-12-11 10:00:00;10;0;1607680800;28.064899;-15.373616;19.82;64;1022;12.82;14.18;1607680800
A-BE;2020-12-11 11:00:00;11;0;1607684400;28.065067;-15.372832999999998;21.08;64;1026;14.01;16.6;1607684400
A-BE;2020-12-11 12:00:00;12;0;1607688000;28.064783000000002;-15.374;21.79;60;1025;13.69;16.85;1607688000
A-BE;2020-12-11 13:00:00;13;0;1607691600;28.064783000000002;-15.374332999999998;21.4;73;1024;16.36;15.96;1607691600
A-BE;2020-12-11 14:00:00;14;0;1607695200;28.0648;-15.374416;21.96;64;1024;14.85;16.31;1607695200
A-BE;2020-12-11 15:00:00;15;0;1607698800;28.064867;-15.3732;22.29;64;1023;15.16;17.1;1607698800
A-BE;2020-12-11 16:00:00;16;0;1607702400;28.065033000000003;-15.373016;21.6;73;1023;16.56;17.29;1607702400
A-BE;2020-12-11 17:00:00;17;0;1607706000;28.064934;-15.373567000000001;20.7;82;1020;17.52;16.78;1607706000
A-BE;2020-12-11 18:00:00;18;0;1607709600;28.0646;-15.374482999999998;19.44;88;1023;17.4;16.24;1607709600
A-BE;2020-12-11 19:00:00;19;0;1607713200;28.065184000000002;-15.37545;19.27;88;1023;17.23;16.7;1607713200
A-BE;2020-12-11 20:00:00;20;0;1607716800;28.064766;-15.374066000000001;19.1;88;1023;17.07;16.82;1607716800
A-BE;2020-12-11 21:00:00;21;0;1607720400;28.064567999999998;-15.374516;18.93;88;1024;16.9;16.23;1607720400
A-BE;2020-12-11 22:00:00;22;0;1607724000;28.065116999999997;-15.375283;18.76;88;1024;16.73;16.34;1607724000
A-BE;2020-12-11 23:00:00;23;0;1607727600;28.064966;-15.373716;18.41;93;1024;17.26;16.55;1607727600
A-BL;2020-12-11 00:00:00;0;0;1607644800;42.082077000000005;11.762945;6.88;100;1004;6.88;5.1;1607644800
A-BL;2020-12-11 01:00:00;1;0;1607648400;42.082382;11.763093;7.04;100;998;7.04;5.65;1607648400
A-BL;2020-12-11 02:00:00;2;0;1607652000;42.082165;11.762868;6.85;100;1004;6.85;5.07;1607652000
A-BL;2020-12-11 03:00:00;3;0;1607655600;42.081866999999995;11.762915;6.65;100;998;6.65;5.17;1607655600
A-BL;2020-12-11 04:00:00;4;0;1607659200;42.081996999999994;11.763033;6.41;100;1004;6.41;4.88;1607659200
A-BL;2020-12-11 05:00:00;5;0;1607662800;42.082333;11.763205000000001;5.87;93;1004;4.83;3.66;1607662800
A-BL;2020-12-11 06:00:00;6;0;1607666400;42.082316999999996;11.763514;5.69;93;999;4.65;2.33;1607666400
A-BL;2020-12-11 07:00:00;7;0;1607670000;42.081821000000005;11.76347;5.23;93;1000;4.19;1.78;1607670000
A-BL;2020-12-11 08:00:00;8;0;1607673600;42.081692;11.763825;6.38;86;1000;4.21;2.93;1607673600
A-BL;2020-12-11 09:00:00;9;0;1607677200;42.081696;11.763988000000001;7.29;87;1000;5.27;3.35;1607677200
