Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude;ow_temp;ow_humidity;ow_pressure;ow_dewPoint;ow_feelsLike;ow_dt
A-AU;2020-12-10 00:00:00;0;0;1607558400;59.451149;24.766733;-9.0;85;1026;-10.83;-13.6;1607558400
A-AU;2020-12-10 01:00:00;1;0;1607562000;59.451149;24.766733;-10.0;92;1026;-10.94;-14.95;1607562000
A-AU;2020-12-10 02:00:00;2;0;1607565600;59.451149;24.766733;-8.51;92;1027;-9.46;-14.05;1607565600
A-AU;2020-12-10 03:00:00;3;0;1607569200;59.451149;24.76675;-6.94;85;1023;-8.8;-11.39;1607569200
A-AU;2020-12-10 04:00:00;4;0;1607572800;59.451149;24.76675;-6.4;85;1023;-8.27;-10.81;1607572800
A-AU;2020-12-10 05:00:00;5;0;1607576400;59.451149;24.766733;-6.22;92;1023;-7.18;-10.1;1607576400
A-AU;2020-12-10 06:00:00;6;0;1607580000;59.451168;24.766733;-5.52;79;1023;-8.24;-10.28;1607580000
A-AU;2020-12-10 07:00:00;7;0;1607583600;59.451149;24.766733;-5.52;85;1022;-7.4;-9.85;1607583600
A-AU;2020-12-10 08:00:00;8;0;1607587200;59.451149;24.766733;-5.3;85;1023;-7.18;-10.32;1607587200
A-AU;2020-12-10 09:00:00;9;0;1607590800;59.451149;24.76675;-4.77;85;1022;-6.66;-10.09;1607590800
A-AU;2020-12-10 10:00:00;10;0;1607594400;59.450851;24.766768;-4.33;85;1022;-6.23;-9.96;1607594400
A-AU;2020-12-10 11:00:00;11;0;1607598000;59.450001;24.766567000000002;-4.52;79;1022;-7.26;-9.9;1607598000
A-AU;2020-12-10 12:00:00;12;0;1607601600;59.450001;24.766567000000002;-4.88;79;1021;-7.61;-10.29;1607601600
A-AU;2020-12-10 13:00:00;13;0;1607605200;59.450001;24.766567000000002;-4.79;79;1021;-7.52;-9.84;1607605200
A-AU;2020-12-10 14:00:00;14;0;1607608800;59.450001;24.766567000000002;-4.79;85;1020;-6.68;-9.76;1607608800
A-AU;2020-12-10 15:00:00;15;0;1607612400;59.450001;24.766567000000002;-4.22;79;1020;-6.96;-9.58;1607612400
A-AU;2020-12-10 16:00:00;16;0;1607616000;59.467449;24.767882999999998;-4.4;85;1019;-6.3;-10.03;1607616000
A-AU;2020-12-10 17:00:00;17;0;1607619600;59.505798;24.513634;-4.5;85;1020;-6.39;-9.79;1607619600
A-AU;2020-12-10 18:00:00;18;0;1607623200;59.50375;24.1551;-4.74;79;1019;-7.47;-9.44;1607623200
A-AU;2020-12-10 19:00:00;19;0;1607626800;59.50298299999999;23.81325;-4.73;73;1019;-8.37;-9.86;1607626800
A-AU;2020-12-10 20:00:00;20;0;1607630400;59.46438199999999;23.472217999999998;-3.62;73;1021;-7.29;-8.66;1607630400
