Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude;ow_temp;ow_humidity;ow_pressure;ow_dewPoint;ow_feelsLike;ow_dt
A-AU;2020-12-16 00:00:00;0;0;1608076800;59.44998199999999;24.76655;0.14;90;1012;-1.15;-6.02;1608076800
A-AU;2020-12-16 01:00:00;1;0;1608080400;59.44998199999999;24.766567000000002;0.28;90;1011;-1.03;-5.44;1608080400
A-AU;2020-12-16 02:00:00;2;0;1608084000;59.44998199999999;24.766567000000002;0.43;89;1010;-1.03;-5.71;1608084000
A-AU;2020-12-16 03:00:00;3;0;1608087600;59.449966;24.766567000000002;0.43;88;1009;-1.17;-5.31;1608087600
A-AU;2020-12-16 04:00:00;4;0;1608091200;59.44998199999999;24.766567000000002;0.43;88;1010;-1.17;-4.96;1608091200
A-AU;2020-12-16 05:00:00;5;0;1608094800;59.44998199999999;24.766567000000002;0.52;89;1009;-0.95;-4.84;1608094800
A-AU;2020-12-16 06:00:00;6;0;1608098400;59.44998199999999;24.766567000000002;0.61;86;1009;-1.29;-5.15;1608098400
A-AU;2020-12-16 07:00:00;7;0;1608102000;59.449966;24.766567000000002;0.85;95;1008;0.14;-4.68;1608102000
A-AU;2020-12-16 08:00:00;8;0;1608105600;59.44998199999999;24.766567000000002;1.26;100;1008;1.26;-4.52;1608105600
A-AU;2020-12-16 09:00:00;9;0;1608109200;59.449966;24.766567000000002;1.34;100;1008;1.34;-4.43;1608109200
A-AU;2020-12-16 10:00:00;10;0;1608112800;59.449966;24.766567000000002;1.35;100;1007;1.35;-4.42;1608112800
A-AU;2020-12-16 11:00:00;11;0;1608116400;59.449966;24.766567000000002;1.62;100;1006;1.62;-4.11;1608116400
A-AU;2020-12-16 12:00:00;12;0;1608120000;59.44998199999999;24.766567000000002;2.08;93;1006;1.07;-3.31;1608120000
A-AU;2020-12-16 13:00:00;13;0;1608123600;59.44998199999999;24.766567000000002;2.83;100;1006;2.83;-1.57;1608123600
A-AU;2020-12-16 14:00:00;14;0;1608127200;59.449966;24.766567000000002;3.85;100;1006;3.85;-0.02;1608127200
A-AU;2020-12-16 15:00:00;15;0;1608130800;59.449966;24.766567000000002;5.32;100;1007;5.32;1.39;1608130800
A-AU;2020-12-16 16:00:00;16;0;1608134400;59.44998199999999;24.766567000000002;5.88;87;1007;3.89;-0.85;1608134400
A-AU;2020-12-16 17:00:00;17;0;1608138000;59.44998199999999;24.766567000000002;5.12;86;1008;2.97;-2.13;1608138000
A-AU;2020-12-16 18:00:00;18;0;1608141600;59.44998199999999;24.766567000000002;5.03;86;1009;2.89;-0.83;1608141600
A-AU;2020-12-16 19:00:00;19;0;1608145200;59.44998199999999;24.766567000000002;4.9;86;1010;2.76;-1.68;1608145200
A-AU;2020-12-16 20:00:00;20;0;1608148800;59.44998199999999;24.766567000000002;4.45;93;1010;3.42;-1.67;1608148800
A-AU;2020-12-16 21:00:00;21;0;1608152400;59.449966;24.766567000000002;4.06;93;1011;3.03;-2.48;1608152400
