Ship;Date;hour;minute;UTC_Seconds;Latitude;Longitude;ow_temp;ow_humidity;ow_pressure;ow_dewPoint;ow_feelsLike;ow_dt
A-AU;2020-12-09 00:00:00;0;0;1607472000;59.451149;24.766733;-5.1;62;1024;-10.57;-12.23;1607472000
A-AU;2020-12-09 01:00:00;1;0;1607475600;59.451149;24.766733;-5.82;67;1024;-10.4;-12.16;1607475600
A-AU;2020-12-09 02:00:00;2;0;1607479200;59.451149;24.76675;-6.27;67;1027;-10.83;-12.29;1607479200
A-AU;2020-12-09 03:00:00;3;0;1607482800;59.451149;24.76675;-6.02;67;1024;-10.59;-11.68;1607482800
A-AU;2020-12-09 04:00:00;4;0;1607486400;59.451149;24.76675;-7.09;73;1028;-10.66;-12.05;1607486400
A-AU;2020-12-09 05:00:00;5;0;1607490000;59.451149;24.76675;-6.63;73;1027;-10.22;-11.55;1607490000
A-AU;2020-12-09 06:00:00;6;0;1607493600;59.451168;24.76675;-6.3;73;1027;-9.9;-11.9;1607493600
A-AU;2020-12-09 07:00:00;7;0;1607497200;59.451149;24.766733;-6.17;73;1028;-9.77;-11.76;1607497200
A-AU;2020-12-09 08:00:00;8;0;1607500800;59.451149;24.766733;-6.49;79;1028;-9.19;-12.03;1607500800
A-AU;2020-12-09 09:00:00;9;0;1607504400;59.451149;24.76675;-5.66;73;1025;-9.27;-11.56;1607504400
A-AU;2020-12-09 10:00:00;10;0;1607508000;59.451149;24.76675;-4.88;67;1025;-9.49;-10.81;1607508000
A-AU;2020-12-09 11:00:00;11;0;1607511600;59.451149;24.76675;-3.97;68;1025;-8.44;-9.12;1607511600
A-AU;2020-12-09 12:00:00;12;0;1607515200;59.451149;24.766733;-3.79;68;1025;-8.27;-8.22;1607515200
A-AU;2020-12-09 13:00:00;13;0;1607518800;59.451149;24.76675;-4.59;73;1025;-8.23;-8.59;1607518800
A-AU;2020-12-09 14:00:00;14;0;1607522400;59.451149;24.76675;-5.87;79;1027;-8.58;-10.31;1607522400
A-AU;2020-12-09 15:00:00;15;0;1607526000;59.451149;24.766733;-6.32;79;1027;-9.02;-10.03;1607526000
A-AU;2020-12-09 16:00:00;16;0;1607529600;59.451149;24.766733;-6.75;85;1027;-8.61;-10.42;1607529600
A-AU;2020-12-09 17:00:00;17;0;1607533200;59.451149;24.766733;-7.3;85;1027;-9.16;-12.13;1607533200
A-AU;2020-12-09 18:00:00;18;0;1607536800;59.451149;24.766733;-6.74;79;1027;-9.43;-11.6;1607536800
A-AU;2020-12-09 19:00:00;19;0;1607540400;59.451149;24.766733;-6.45;79;1027;-9.15;-11.64;1607540400
A-AU;2020-12-09 20:00:00;20;0;1607544000;59.451168;24.766733;-6.79;79;1027;-9.48;-11.3;1607544000
A-AU;2020-12-09 21:00:00;21;0;1607547600;59.451149;24.766733;-7.0;73;1026;-10.58;-11.95;1607547600
A-AU;2020-12-09 22:00:00;22;0;1607551200;59.451149;24.766733;-8.0;78;1026;-10.81;-12.61;1607551200
A-AU;2020-12-09 23:00:00;23;0;1607554800;59.451149;24.766733;-9.0;85;1026;-10.83;-13.95;1607554800
A-BE;2020-12-09 00:00:00;0;0;1607472000;28.983383;-14.651334;18.15;72;1025;13.03;13.8;1607472000
